from,to,date_time,evacuation,km
20,23,2019-08-31 08:00:00,5.6,16.355321515191555
20,23,2019-09-03 08:00:00,1.4000000000000004,16.355321515191555
20,23,2019-09-04 08:00:00,8.0,16.355321515191555
20,23,2019-09-06 00:00:00,1.5,16.355321515191555
20,23,2019-09-06 08:00:00,7.75,16.355321515191555
20,23,2019-09-06 16:00:00,6.75,16.355321515191555
20,23,2019-09-07 00:00:00,4.799999999999997,16.355321515191555
20,23,2019-09-07 08:00:00,10.6,16.355321515191555
20,23,2019-09-07 16:00:00,4.800000000000001,16.355321515191555
20,23,2019-09-08 08:00:00,27.0,16.355321515191555
20,23,2019-09-08 16:00:00,9.8,16.355321515191555
20,23,2019-09-09 16:00:00,10.0,16.355321515191555
20,23,2019-09-10 16:00:00,3.6000000000000014,16.355321515191555
20,25,2019-08-28 16:00:00,20.599999999999994,18.852019669367618
20,25,2019-08-29 00:00:00,36.0,18.852019669367618
20,25,2019-08-29 08:00:00,5.0,18.852019669367618
20,25,2019-08-29 16:00:00,14.400000000000006,18.852019669367618
20,25,2019-08-30 00:00:00,24.5,18.852019669367618
20,25,2019-08-30 16:00:00,36.75,18.852019669367618
20,25,2019-08-31 00:00:00,16.19999999999999,18.852019669367618
20,25,2019-09-01 08:00:00,2.799999999999997,18.852019669367618
20,25,2019-09-02 00:00:00,0.7999999999999972,18.852019669367618
20,25,2019-09-04 16:00:00,6.400000000000006,18.852019669367618
20,25,2019-09-05 16:00:00,32.400000000000006,18.852019669367618
20,25,2019-09-06 00:00:00,35.5,18.852019669367618
20,25,2019-09-06 16:00:00,11.0,18.852019669367618
20,25,2019-09-07 00:00:00,34.19999999999999,18.852019669367618
20,25,2019-09-07 08:00:00,6.200000000000003,18.852019669367618
20,25,2019-09-08 08:00:00,40.8,18.852019669367618
20,25,2019-09-09 16:00:00,19.80000000000001,18.852019669367618
20,25,2019-09-10 16:00:00,31.19999999999999,18.852019669367618
20,34,2019-08-28 00:00:00,0.8000000000000007,30.508188719031683
20,34,2019-08-29 00:00:00,3.8000000000000007,30.508188719031683
20,34,2019-08-31 00:00:00,1.3999999999999986,30.508188719031683
20,34,2019-09-05 00:00:00,0.8000000000000007,30.508188719031683
20,34,2019-09-07 00:00:00,4.399999999999999,30.508188719031683
20,35,2019-08-28 00:00:00,6.600000000000001,32.621159378754825
20,35,2019-08-30 00:00:00,3.0,32.621159378754825
20,35,2019-08-30 16:00:00,5.75,32.621159378754825
20,35,2019-09-06 00:00:00,2.0,32.621159378754825
20,35,2019-09-08 00:00:00,7.800000000000001,32.621159378754825
20,35,2019-09-10 00:00:00,0.8000000000000007,32.621159378754825
20,36,2019-08-31 00:00:00,0.40000000000000036,52.65387498135325
20,36,2019-09-06 00:00:00,2.0,52.65387498135325
20,36,2019-09-10 00:00:00,4.0,52.65387498135325
20,37,2019-08-28 16:00:00,5.799999999999997,41.015326997140534
20,37,2019-08-29 00:00:00,13.799999999999997,41.015326997140534
20,37,2019-08-29 08:00:00,1.1999999999999993,41.015326997140534
20,37,2019-08-29 16:00:00,5.600000000000001,41.015326997140534
20,37,2019-08-30 16:00:00,2.5,41.015326997140534
20,37,2019-08-31 00:00:00,7.799999999999997,41.015326997140534
20,37,2019-08-31 08:00:00,1.5999999999999996,41.015326997140534
20,37,2019-08-31 16:00:00,2.1999999999999993,41.015326997140534
20,37,2019-09-05 00:00:00,1.7999999999999972,41.015326997140534
20,37,2019-09-05 08:00:00,4.199999999999999,41.015326997140534
20,37,2019-09-06 00:00:00,7.5,41.015326997140534
20,37,2019-09-06 16:00:00,3.5,41.015326997140534
20,37,2019-09-07 00:00:00,5.799999999999997,41.015326997140534
20,37,2019-09-07 08:00:00,1.5999999999999996,41.015326997140534
20,37,2019-09-07 16:00:00,3.1999999999999993,41.015326997140534
20,37,2019-09-08 00:00:00,0.6000000000000014,41.015326997140534
20,37,2019-09-08 08:00:00,28.6,41.015326997140534
20,37,2019-09-08 16:00:00,2.0,41.015326997140534
